text,segment,intent,speaker
"So that's 2 medium extra cheese pizzas one veggie lovers with alfredo sauce, the other a chicken and ranch for $34.99 right?",extra cheese,pizza_ordering.preference.accept,ASSISTANT
"Thank you, so i have: 2 small thin crust pizzas. one with extra pepperoni, and heavy sauce. the other is mushrooms, green peppers and sausage. is that correct?",small,pizza_ordering.size.pizza.accept,ASSISTANT
"Ok, Joseph I'm sending you confirmation to your mobile device that Brother's Pizzeria is delivering you a Deluxe Pan Pizza with extra mushrooms, onions, and extra cheese to your house in about an hour.",Deluxe Pan Pizza,pizza_ordering.name.pizza.accept,ASSISTANT
"I have confirmed a small cheese only pizza, along with your speciality Hawaiian pizza, add onions. Will there be anything else?.",speciality Hawaiian pizza,pizza_ordering.name.pizza.accept,ASSISTANT
I am ordering one medium pizza with pepperoni and sausage from the Pizza Hut on College Ave. Is that correct?,sausage,pizza_ordering.type.topping.accept,ASSISTANT
"Your order of 1 large pizza with normal cheese, marinara sauce, pepperoni, mushrooms, and onions, hand tossed will be ready at the Waikiki Pizza Hut.",Waikiki,pizza_ordering.location.store.accept,ASSISTANT
"got it, 3 large pizzas, 2 veggie lovers, one cheese, all with extra cheese, is that correct?",large,pizza_ordering.size.pizza.accept,ASSISTANT
"Ok thin crust bacon, pineapple and onions.",pineapple,pizza_ordering.type.topping.accept,ASSISTANT
You are wanting a large cheesy bread crust pizza with extra pepperonis and a side container of sauce to be picked up at Rico's today?,cheesy bread crust pizza,pizza_ordering.name.pizza.accept,ASSISTANT
Okay your order is placed and it will be ready in about 25 minutes.,your order is placed,pizza_ordering.pizza_order.accept,ASSISTANT
"That's true! Okay so the order is a large pizza with jalapeno and pineapple, light sauce cooked well well done?",light sauce,pizza_ordering.preference.accept,ASSISTANT
"got it, bella luna has a seafood special which has baby shrimp, anchovies, and clams, is that ok?",baby shrimp,pizza_ordering.type.topping.accept,ASSISTANT
Got it! they don't have Canadian Bacon. Do you want something else?,Canadian Bacon,pizza_ordering.type.topping.reject,ASSISTANT
"Bella Luna in new york city, got it.",new york,pizza_ordering.location.store.accept,ASSISTANT
"Ok, Your order for a Basil Pie Pizza with tomato instead of bacon is order and will be ready to pickup in 25 minutes. The total comes to $18.99. A receipt will be sent to you via text message.",Basil Pie Pizza,pizza_ordering.name.pizza.accept,ASSISTANT
"ok, so you are ordering 4 small pizzas with thick crust, 2 cheese, 2 pepperoni, is that correct?",small,pizza_ordering.size.pizza.accept,ASSISTANT
"I'm sorry, but Big Mama's is out of mushrooms.",Big Mama's,pizza_ordering.name.store.accept,ASSISTANT
"so the last one is extra cheese, sausage, pepperoni, and Sun dried tomatoes and bananas.",Sun dried tomatoes,pizza_ordering.type.topping.accept,ASSISTANT
Okay so I have one large pizza with chicken & jalepenos for pickup. Would that be all?,large,pizza_ordering.size.pizza.accept,ASSISTANT
"Ok. Bacon will be added to your Meat Marvel in place of Pepperoni and a Maui Zaui, is that correct?",Bacon,pizza_ordering.type.topping.accept,ASSISTANT
"I would like thick crust on them, please.",thick crust,pizza_ordering.type.crust.accept,USER
If I could get a 2 liter of Coke and some gluten-free Bean chips that would be awesome.,gluten-free,pizza_ordering.preference.accept,USER
thick crust and extra cheese.,thick crust,pizza_ordering.type.crust.accept,USER
"Ok, to review, you would like a large, 3-topping pizza with hand-tossed crust. For your toppings, you would like Ham, Pineapple, and Grilled Chicken. Is this correct?",hand-tossed crust,pizza_ordering.type.crust.accept,ASSISTANT
"Sure, you're order of one large pizza with mushrooms and black olives will be ready for pickup in 25 minutes at Dion's. A receipt will be sent to you via text message at the number provided.",large,pizza_ordering.size.pizza.accept,ASSISTANT
"Thank you, I would like to order a large stuffed crust pizza",large,pizza_ordering.size.pizza.accept,USER
"One large pesto pizza with extra mozzarella cheese, and one large tomato sauce pizza with roasted garlic and broccoli. $31.03, plus tax.",tomato sauce pizza,pizza_ordering.name.pizza.accept,ASSISTANT
Ok your order is confirmed for one medium deep dish pizza with pepperoni and pineapple.,deep dish pizza,pizza_ordering.name.pizza.accept,ASSISTANT
"I'm sorry, there's no chicken bbq at this location, please choose another topping.",chicken bbq,pizza_ordering.type.topping.reject,ASSISTANT
the pizzas are on order at the local Bella Luna pizzeria and will be ready for pickup shortly.,local Bella Luna pizzeria,pizza_ordering.name.store.accept,ASSISTANT
"sure, 3 large thick crust pizzas, one ham, bacon, green peppers, and onions, one chicken bbq, one with green pepper, onion, and sausage.",thick crust pizzas,pizza_ordering.type.crust.accept,ASSISTANT
Ok I'll just get a regular pizza with mushroom and pepperoni.,regular,pizza_ordering.name.pizza.accept,USER
"No, just make it plain.",plain,pizza_ordering.type.crust.accept,USER
Ok I am sending your order to Pizza Hut now for a large pepperoni and sausage pizza.,pepperoni and sausage pizza,pizza_ordering.name.pizza.accept,ASSISTANT
Ok so a large hawaiian pizza with ham.That cost 10 dollars?,ham,pizza_ordering.type.topping.accept,ASSISTANT
"2 medium pizzas with gluten free crust, 1 sausage and 1 cheese comes out to $21.45.",cheese,pizza_ordering.type.topping.accept,ASSISTANT
"yes, pineapple and ham",pineapple,pizza_ordering.type.topping.accept,USER
"I want a small thin crust pizza, with black olives and pepperoni only.",thin crust pizza,pizza_ordering.name.pizza.accept,USER
"Yeah, can you order me a couple pizzas from Pizza Hut?",Pizza Hut,pizza_ordering.name.store.accept,USER
"3 thin-crust larges, one sausage pepperoni and onions, one pepperoni and black olives, and one veggie lovers right?",onions,pizza_ordering.preference.accept,ASSISTANT
Barry's Pizza on Richmond Avenue?,Barry's Pizza,pizza_ordering.name.store.accept,ASSISTANT
Your order for a Large Mountain Mikes Pikes Peak pizza will be place at the Folsom location for pickup,at the Folsom location,pizza_ordering.location.store.accept,ASSISTANT
Large pan pepperoni pizza with extra cheese?,extra cheese,pizza_ordering.preference.accept,ASSISTANT
Ok do they have seasoned tofu?,seasoned tofu,pizza_ordering.type.topping.reject,USER
"Great, so one large pizza, half sausage, half green pepper and onion.",green pepper,pizza_ordering.type.topping.accept,ASSISTANT
An extra large cheese pizza with pepperoni and onions.,cheese pizza,pizza_ordering.name.pizza.accept,ASSISTANT
"ok, you are ordering 3 medium thick crust pizzas, 1 sausage, 1 pepperoni and 1 cheese, is that correct?",cheese,pizza_ordering.type.topping.accept,ASSISTANT
"I want three small pizzas with thick crust, and on one of them I want Canadian bacon, on the second one I want pineapple, and on the last one I want green pepper and olive.",pineapple,pizza_ordering.type.topping.accept,USER
"Oh you know what, they're all out of onions. Anything else instead",onions,pizza_ordering.type.topping.reject,ASSISTANT
oh sorry - we actually don't have whole wheat available tonight,whole wheat,pizza_ordering.type.crust.reject,ASSISTANT
"So that's 4 large extra cheese pizzas, one philly cheese, one chicken and sausage, one salami and pepperoni, one black olives mushrooms and bacon.",large,pizza_ordering.size.pizza.accept,ASSISTANT
Hey I'd like to get a pizza from Papa Joes.,Papa Joes.,pizza_ordering.name.store.accept,USER
good. they are out of onions and mushrooms,mushrooms,pizza_ordering.type.topping.reject,ASSISTANT
So that's 4 medium extra cheese hawaiian pizzas for $72.33.,extra cheese,pizza_ordering.preference.accept,ASSISTANT
I will get meatballs instead of sausage.,sausage,pizza_ordering.type.topping.reject,USER
"2 large pizzas, one garlic and onions with extra cheese and one ham and meatball pizza right?",extra cheese,pizza_ordering.preference.accept,ASSISTANT
"so the order was 4 large pizzas, 1 meat lovers, 1 bbq chicken and 2 supreme pizzas, all with extra cheese.",meat lovers,pizza_ordering.name.pizza.accept,ASSISTANT
"fine, i need tomato base with lot of cheese and the toppings are chicken sausage, pork sausage , buffalo cheese, and some capsicums.",buffalo cheese,pizza_ordering.type.topping.accept,USER
"Okay. So two large pizzas with original crust, one pepperoni and one custom with black olives, banana peppers, and mushrooms?",original crust,pizza_ordering.type.crust.accept,ASSISTANT
"Okay. I ordered a large gluten free crust pepperoni pizza with half black olives, half mushrooms from Brunos on Main. It will be ready for pickup in 25 minutes.",half black olives,pizza_ordering.type.topping.accept,ASSISTANT
Sorry they are currently out of goat cheese will mozzarella be ok,goat cheese,pizza_ordering.preference.reject,ASSISTANT
Let's change those to just pineapple and ham with extra cheese.,ham,pizza_ordering.type.topping.accept,USER
I want to order pizza from Bella Luna.,Bella Luna,pizza_ordering.name.store.accept,USER
"Ok, so I have a large Outlaw, thin crust, add fresh tomatoes, all the fixings, and extra napkins, from Shotgun Dan's, correct?","Shotgun Dan's,",pizza_ordering.name.store.accept,ASSISTANT
"Pepperoni, Canadian bacon, spicy Italian sausage, onions, green peppers, mushrooms, and black olives.",Pepperoni,pizza_ordering.type.topping.accept,USER
"I got a XL supreme pizza, 2 liter sprite, with a cookie brownie. I added a small order of cheesy bread with marinara sauce as well.",XL,pizza_ordering.size.pizza.accept,ASSISTANT
"Okay, so a large, traditional crust pizza with pepperoni, pineapple, and olives?",large,pizza_ordering.size.pizza.accept,ASSISTANT
"so thats 2 small pizzas from bella luna, 1 with spinach alfredo with chick and tomato and 1 with chicken bacon ranch, both with gluten free crust, right?",gluten free crust,pizza_ordering.type.crust.accept,ASSISTANT
"Yeah, cuz we're getting two seafood pizzas and we should 3488, thank you. Yes.",seafood pizzas,pizza_ordering.name.pizza.accept,USER
Can you order some pizzas from Round Table?,Round Table,pizza_ordering.name.store.reject,USER
Yes. It's the one on green?,green,pizza_ordering.location.store.accept,USER
"Okay, your pizza will be ready for pick up in 25 minutes.",your pizza will be ready for pick up in 25 minutes,pizza_ordering.pizza_order.accept,ASSISTANT
They just told me they're out of sausage.,sausage,pizza_ordering.type.topping.reject,ASSISTANT
"So 3 large pizzas one buffalo chicken, one meatball marinara and one sausage and pepper all with gluten free crust?",gluten free crust,pizza_ordering.type.crust.accept,ASSISTANT
i want thin crust on one and hand tossed on the other,hand tossed,pizza_ordering.type.crust.accept,USER
"great. so u want 3 large pizzas, all with chicken and mushroom.",large,pizza_ordering.size.pizza.accept,ASSISTANT
Ok great so that's an Extra Large Grandma Style Philly Special with no mushrooms?,no mushrooms,pizza_ordering.preference.accept,ASSISTANT
We do not have olive today.,olive,pizza_ordering.type.topping.reject,ASSISTANT
Allesandro's down the street.,down the street,pizza_ordering.location.store.accept,USER
"OK. I have your order as a medium pan pizza with pepperoni, ham and pineapple with red sauce and a pan crust.",pineapple,pizza_ordering.type.topping.accept,ASSISTANT
Please add gluten-free crust.,gluten-free crust,pizza_ordering.type.crust.accept,USER
I am in the mood for some pizza. Probably from Pizza Shuttle.,Pizza Shuttle,pizza_ordering.name.store.accept,USER
"No problem, so we have a large 16"" cheese pizza with extra cheese, pepperoni, sausage, mushrooms, and onions (no spinach) for pick up tonight?",onions,pizza_ordering.type.topping.accept,ASSISTANT
"Alright. First, I'd like a large mushroom and sausage.",large,pizza_ordering.size.pizza.reject,USER
"Your order has been placed. It will be ready in 25 minutes at the Pizza Boli’s at 12949 Wisteria Dr, Germantown, MD 20874. A receipt confirmation will be sent to your phone shortly.","12949 Wisteria Dr, Germantown, MD 20874",pizza_ordering.location.store.accept,ASSISTANT
Can I have some extra cheese on the Macho Man?,Macho Man,pizza_ordering.name.pizza.accept,USER
"Ok, so a large deep dish deluxe. With pepperoni instead of sausage and add I olives.",large,pizza_ordering.size.pizza.accept,ASSISTANT
"sure, they have the meat lovers, veggie lovers, supreme and hawaiian pizzas.",supreme,pizza_ordering.name.pizza.accept,ASSISTANT
"Okay. I'd like to confirm your order: one large, crunchy thin crust pepperoni pizza with a side of garlic dipping sauce. Is that correct?",large,pizza_ordering.size.pizza.accept,ASSISTANT
"I would like a blend of cheddar, mozzarella and provel please.",provel,pizza_ordering.type.topping.accept,USER
"4 small pizzas: pepperoni, mushrooms and green olives. thick crust on all of them.",green olives,pizza_ordering.type.topping.accept,ASSISTANT
"sure, so that's an extra large carnalicious with ground beef instead of meatball on a crispy crust, correct?",carnalicious,pizza_ordering.name.pizza.accept,ASSISTANT
"Alright, so you want a Large pepperoni pizza, with small tomatoes sliced as your second topping.",tomatoes,pizza_ordering.type.topping.accept,ASSISTANT
I would like to order a Pizza from Dominos.,Dominos,pizza_ordering.name.store.accept,USER
"ok, your pizza order is complete and the pizzas will be ready for pickup in about 25 minutes.",your pizza order is complete,pizza_ordering.pizza_order.accept,ASSISTANT
Just to confirm: You want a medium hand-tossed pizza with ham and green peppers and you want to pick it up at the Smith Street Dominos.,green peppers,pizza_ordering.type.topping.accept,ASSISTANT
"Ok your large pepperoni, mushrooms and peppers pizza will be ready fro pick up in 25mins",pepperoni,pizza_ordering.type.topping.accept,ASSISTANT
"Ok. Roundtable only accepts cash for delivery, is that ok?",Roundtable,pizza_ordering.name.store.accept,ASSISTANT
"A medium thin crust pizza with extra cheese, pineapple and chicken toppings",extra cheese,pizza_ordering.type.topping.accept,ASSISTANT
"Ok great, so I have three large pizzas, one meat lovers, one double pepperoni and double bacon, and one with extra cheese, olives, mushrooms and green peppers for pickup?",green peppers,pizza_ordering.type.topping.accept,ASSISTANT
"Your order of a large pan pizza with no meat, extra mushrooms and peppers has been confirmed. You will be able to pick this up in 25 minutes. If anything changes, you will recieve a upate in text. You will also recieve a reciept in text as well.",peppers,pizza_ordering.type.topping.accept,USER
"You currently have one medium pizza, thin crust, with half pepperoni and extra cheese, and half veggie lovers. Is that correct?",thin crust,pizza_ordering.type.crust.accept,ASSISTANT
One pepperoni pizza and one sausage pizza.,pepperoni pizza,pizza_ordering.name.pizza.accept,USER
"Your order for one large Vegetarian pizza with extra mushrooms and no bell peppers, will be ready to pick up in 25 minutes at Fernando's on Cahuenga Blvd West in Studio City.",no bell peppers,pizza_ordering.preference.accept,ASSISTANT
"got it, so you are ordering 3 medium pizzas, 1 cheese, 1 extra cheese, and 1 veggie lovers, is that correct?",medium,pizza_ordering.size.pizza.accept,ASSISTANT
"Ok. Let me read that back to you. A large original, plain crust with pepperoni and bacon.",large,pizza_ordering.size.pizza.accept,ASSISTANT
Bella Luna.,Bella Luna,pizza_ordering.name.store.accept,USER
"3 Medium gluten free Pizzas. the first is a Hawaiian pizza, the next a Meat lovers pizza and lastly a Cheese Pizza.",Cheese Pizza,pizza_ordering.name.pizza.accept,ASSISTANT
Okay the order will be ready in twenty minutes,Okay the order will be ready in twenty minutes,pizza_ordering.pizza_order.accept,ASSISTANT
"4 small thin crust pizzas, 1 hawaiian, 1 veggie lovers, 1 pepperoni, 1 cheese and jalapenos.",small,pizza_ordering.size.pizza.accept,ASSISTANT
"So that's 4 large thin crust pizzas, one meatlovers, one combo, one whitesauce pizza, and one veggie lovers for a total of $60.99.",one veggie lovers,pizza_ordering.name.pizza.accept,ASSISTANT
"4 medium pizzas all with extra cheese, 1 with anchovies, mushrooms, and garlic also known as vampire, 1 pittsburg style, 1 chicago style, and 1 that is a 6 cheese blend.",chicago style,pizza_ordering.name.pizza.accept,ASSISTANT
"Great! If you need to contact Domino's Pizza about your pick-up, here is their number: *gives phone number+",Domino's Pizza,pizza_ordering.name.store.accept,ASSISTANT
"yes, let's add basil, mushroom, bell pepper, sausages, ham and pinnable",ham,pizza_ordering.type.topping.accept,USER
so your order is: 3 large meatlovers pizza with gluten free crust. Correct?,gluten free crust,pizza_ordering.type.crust.accept,ASSISTANT
"I am ordering one large 14"" Pacific Veggie pizza with Crunchy Thin Crust, regular cheese, and added jalepeno peppers.","14"" Pacific Veggie pizza",pizza_ordering.name.pizza.accept,ASSISTANT
"Yes, of course. This pizza comes with chicken, bacon, red onion, and BBQ sauce. Would you like all the toppings?",chicken,pizza_ordering.type.topping.accept,ASSISTANT
"Hello, Tim’s Pizza.",Tim’s Pizza,pizza_ordering.name.store.accept,ASSISTANT
yes i want sausage on all but mushrooms on half,mushrooms,pizza_ordering.type.topping.accept,USER
Looks like they don't have any green olives. Is there something else you'd like instead?,green olives.,pizza_ordering.type.topping.reject,ASSISTANT
I would like to order a pizza from Eno's in dallas.,Eno's,pizza_ordering.name.store.accept,USER
"Okay, should I go ahead and order that large Donato's pizza with bacon and pineapple now?",pineapple,pizza_ordering.type.topping.accept,ASSISTANT
"one cheese pizza, one veggie lovers pizza, one sausage & onion pizza, and one with green peppers, mushrooms and onion.",mushrooms,pizza_ordering.type.topping.accept,ASSISTANT
"3 large pizzas with thick crust, One meatlover, one pepperoni and one cheese only.",pepperoni,pizza_ordering.name.pizza.accept,ASSISTANT
"ok, I've ordered you extra large sausage, bacon, and extra cheese pizza.",extra cheese,pizza_ordering.preference.accept,ASSISTANT
"Okay, so you want a large pizza with pepperoni, sausage, and onions from Joe's Pizza?",onions,pizza_ordering.type.topping.accept,ASSISTANT
"Sure thing. By the way, they have different crusts. I know a lot of people like their stuffed crust pizzas.",stuffed crust pizzas,pizza_ordering.name.pizza.accept,ASSISTANT
I will order the medium pizza with red onions and mushroom ready at the springville location,medium,pizza_ordering.size.pizza.accept,ASSISTANT
"Ok, so let me make sure I have it right. A large pizza with pepperoni, bacon and extra cheese?",large,pizza_ordering.size.pizza.accept,ASSISTANT
"OK, now I have to then crust medium pizzas one with pepperoni and mushroom, and the other with black olives and jalapeños, and two orders of breadsticks.",mushroom,pizza_ordering.type.topping.accept,ASSISTANT
"Right, so medium pizza with Pepperoni, sausage, pineapple and mushroom, on the account",medium,pizza_ordering.size.pizza.accept,ASSISTANT
Sure. Would you like for this pizza to be a medium thin crust one as well?,thin crust,pizza_ordering.type.crust.accept,ASSISTANT
"Alright so you ordered 3 extra large pepperoni pizzas, 3 extra large cheese pizzas, 3 orders of barbecue flavored wings, 1 order of buffalo flavored wings, 2 Pepsis and 2 Sprites. Is that correct?",extra large,pizza_ordering.size.pizza.accept,ASSISTANT
"so i have 3 small pizzas with extra cheese, one pineapple and anchovies, 1 seafood special, and 1 with ground beef, onions, and bell peppers, is that correct?",small,pizza_ordering.size.pizza.accept,ASSISTANT
I just ordered. You should be getting a text with the receipt shortly. I'll go get the pizzas in 25 minutes.,I just ordered. You should be getting a text with the receipt shortly. I'll go get the pizzas in 25 minutes,pizza_ordering.pizza_order.accept,ASSISTANT
"ok, so you are ordering 4 medium, thin crust pizzas with pepperoni and sausage.",sausage,pizza_ordering.type.topping.accept,ASSISTANT
"ok with 3 medium pizza chicken topping all with thick crust your total comes to 54 dollars, shall we order.",chicken,pizza_ordering.type.topping.accept,ASSISTANT
"ok, let me read your order back to you. please confirm whether it's correct. 4 medium thin crust pizzas, 1 pepperoni lovers, 1 sausage pepperoni and mushroom, 1 veggie lovers, and 1 with extra cheese.",medium,pizza_ordering.size.pizza.accept,ASSISTANT
"You wanted a medium specialty pizza, the works, substituting beef for sausage. You wanted to place this order for carryout. Is this correct?",substituting beef for sausage,pizza_ordering.preference.accept,ASSISTANT
"so your order is: 3 large pizzas. one meatlovers, the second with mushrooms and linguiça and the third with olives, black pepper, hot sauce and pepperoni.",mushrooms,pizza_ordering.type.topping.accept,ASSISTANT
"so that's 3 small pizzas, a hawaiian with tommato and onion, one broccoli and garlic with extra cheese, and the last one has sausage, mushrooms, and pepperoni right?",mushrooms,pizza_ordering.type.topping.accept,ASSISTANT
"Hi, I'd like to order some pizzas from Bella Luna.",Bella Luna,pizza_ordering.name.store.accept,USER
i can order that for you. Where do you want to order thin crust pizzas from?,thin crust pizzas,pizza_ordering.name.pizza.accept,ASSISTANT
then let's have green peppers with black olives,black olives,pizza_ordering.type.topping.accept,USER
"Thank you for calling Hungry Howie's, how may I help you?",Hungry Howie's,pizza_ordering.name.store.accept,ASSISTANT
"Large is 16"".",Large is 16,pizza_ordering.size.pizza.accept,ASSISTANT
Okay I have Texas heat pizza with no honey and additional sausage. Is that correct?,Texas heat pizza,pizza_ordering.name.pizza.accept,ASSISTANT
Your order has been confirmed,Your order has been confirmed,pizza_ordering.pizza_order.accept,ASSISTANT
Patsy's Pizza. The one on the Upper West Side.,Patsy's Pizza,pizza_ordering.name.store.accept,USER
I would like to get a pizza from dominoes,dominoes,pizza_ordering.location.store.accept,USER
I was looking to order some pizza from the the new pizzeria Bella Luna's.,new pizzeria Bella Luna's,pizza_ordering.name.store.accept,USER
"To confirm, that will be 10 eight corner pizzas. Three Hawaiian pizzas with pineapple and ham. Four pepperoni and sausage. And three pizzas with sausage and banana peppers.",sausage,pizza_ordering.type.topping.accept,ASSISTANT
"Alright, so your order would be a large pizza, thin crust with extra cheese with toppings of sausage and grilled chicken, your choices of veggies are roma tomatoes, and mushroom. Would that be all ?",grilled chicken,pizza_ordering.type.topping.accept,ASSISTANT
Sure. That's one XLarge Spinach and Artichoke with white sauce on a gluten free crust.,Artichoke,pizza_ordering.name.pizza.accept,ASSISTANT
Your order has been sent to Bella Luna and is being prepared. Your order should be ready for pickup soon.,Bella Luna,pizza_ordering.name.store.accept,ASSISTANT
"Oh, sorry about that. So one large pan pizza with sausage and onions, hut favorite crust and white sauce?",onions,pizza_ordering.type.topping.accept,ASSISTANT
"ok, you want a large thin crust garlic pizza with mushrooms, onions and extra cheese?",extra cheese,pizza_ordering.preference.accept,ASSISTANT
Can I order a large eggplant parm pizza from Joe's Main Street?,Joe's Main Street,pizza_ordering.name.store.accept,USER
"Ok your large pepperoni, mushrooms and peppers pizza will be ready fro pick up in 25mins",peppers,pizza_ordering.type.topping.accept,ASSISTANT
"ok, you are ordering 3 small pizzas with thick crust, 1 hawaiin, 1 pepperoni, and 1 cheese, is that correct?",small pizzas,pizza_ordering.size.pizza.accept,ASSISTANT
"Alright, Large pizza, Half Pepperoni Half Sausage.",Large,pizza_ordering.size.pizza.accept,ASSISTANT
"let me confirm with you, 4 large pizzas, all thin crust, tomatoes, chicken, and jalapenos.",thin crust,pizza_ordering.type.crust.accept,ASSISTANT
"ok, so 2 large pizzas. one with bbq chicken, the other is a hawaiian. both with gluten free crust, correct?",bbq chicken,pizza_ordering.type.topping.accept,ASSISTANT
"Great, I called them and they do not have lobster, only scallops.",scallops,pizza_ordering.type.topping.accept,ASSISTANT
with 3 medium pizza your total is 54 dollars is that your final order.,medium,pizza_ordering.size.pizza.accept,ASSISTANT
I want to order a pizza for pickup from Windy City Pie.,Windy City Pie.,pizza_ordering.name.store.accept,USER
Great now lets go over your order: You want 1 large double dough with Black olives and extra cheese.,Black olives,pizza_ordering.type.topping.accept,ASSISTANT
No. They offer the BBQ Chicken pizza on a gluten free crust but not the California Club.,California Club,pizza_ordering.name.pizza.accept,ASSISTANT
"Ok half bacon, sausage, and pepperoni, half olives, peppers, and onions",half olives,pizza_ordering.type.topping.accept,ASSISTANT
The Mazzio's online thing here say's that last time you ordered you ordered double pepperoni.,Mazzio's,pizza_ordering.name.store.accept,ASSISTANT
I also want gluten free crust.,gluten free crust,pizza_ordering.type.crust.accept,USER
got it. so your order is: 4 large gluten free crust pizzas. 2 pepperoni and 2 sausage.,sausage,pizza_ordering.type.topping.accept,ASSISTANT
"Yes, I want a sausage and pineapple pizza.",sausage and pineapple pizza,pizza_ordering.name.pizza.accept,USER
"great, so you are ordering 3 small pizzas with thick crust, one veggie lovers, one meat lovers, and one with pineapple, bell peppers, onions, and ground beef.",onions,pizza_ordering.type.topping.accept,ASSISTANT
"great, so you said 3 medium specialty pizzas of chicken bbq with ranch drizzled on top and extra cheese.",medium,pizza_ordering.size.pizza.accept,ASSISTANT
So that will be one large The Works original pizza from the Chatham Papa John's. We are substituting ground beef for Canadian bacon. Is that correct?,original pizza,pizza_ordering.name.pizza.accept,ASSISTANT
"great, you ordered 2 large thin crust pizzas, 1 meat lovers, and 1 veggie lovers, is that correct?",thin crust pizzas,pizza_ordering.type.crust.accept,ASSISTANT
"3 large pizzas, 1 with bay leaves, olives, and sun dried tomatoes, 1 mighty meat lovers pizza, and 1 of the 17 cheese blend pizza.",olives,pizza_ordering.type.topping.accept,ASSISTANT
"So that's 3 medium extra cheese pizzas, 1 pepperoni bacon, sausage and onions, one supreme, and one bbq chicken for a total of $56.99.",cheese pizzas,pizza_ordering.name.pizza.accept,ASSISTANT
"so that's 3 large pizza, chicken BBQ with gluten free crust is that correct?",chicken BBQ,pizza_ordering.type.topping.accept,ASSISTANT
"Yes I'd like to order four small pizzas from Della Luna, please.",Della Luna,pizza_ordering.name.store.accept,USER
"the total for 2 large pizzas, 1 with tomatoes, 1 with onions, both with extra cheese comes out to $25.33.",extra cheese,pizza_ordering.preference.accept,ASSISTANT
"ok, so you are ordering 2 small thin crust chicken bbq pizzas, is that correct?",small,pizza_ordering.size.pizza.accept,ASSISTANT
And I want a family size,family size,pizza_ordering.size.pizza.accept,USER
I want a large Memphis BBQ Chicken.,large,pizza_ordering.size.pizza.accept,USER
"Everything is set, pizza should be here in 25 minutes or so.","Everything is set, pizza should be here in 25 minutes or so.",pizza_ordering.pizza_order.accept,ASSISTANT
"Oh, and make sure they include extra pepperonis.",extra pepperonis,pizza_ordering.preference.accept,USER
"got it. your order of 4 medium pizzas, 2 pepperoni, 1 meat lovers, and 1 bbq chicken. all with thick crust comes out to $48.",meat lovers,pizza_ordering.name.pizza.accept,ASSISTANT
"sure thing, that's two pineapple pizzas, medium, with extra cheese.",medium,pizza_ordering.size.pizza.accept,ASSISTANT
"So 3 large pizzas one buffalo chicken, one meatball marinara and one sausage and pepper all with gluten free crust?",meatball marinara,pizza_ordering.type.topping.accept,ASSISTANT
"so 3 medium pizzas. a pepperoni, the second is with ham and pineapple and the third is chicken bbq. extra cheese on all 3. did i get that correctly?",ham,pizza_ordering.type.topping.accept,ASSISTANT
"So that's 2 mediums with gluten free crust, both pepperoni and mushroom totals out to $42.99.",pepperoni and mushroom,pizza_ordering.type.topping.accept,ASSISTANT
"Sure. So 4 small pizzas, thick crust on both. 2 meat lovers and 2 sausage and onions. Is this correct?",small,pizza_ordering.size.pizza.accept,ASSISTANT
Yes please. Make one of the supreme gluten free. Thank you for looking out for me.,gluten free,pizza_ordering.type.crust.accept,USER
"Just to confirm: 2 medium pizzas. one pepperoni and one chicken, both with extra sauce, thin crust on both.",medium,pizza_ordering.size.pizza.accept,ASSISTANT
Just checked. That was just a special for the Super Bowl. They don't have crab any more.,crab,pizza_ordering.type.topping.reject,ASSISTANT
great. Your pizza are on order at the local Bella Luna pizzeria and will be ready for pickup in 30 min.,Bella Luna pizzeria,pizza_ordering.name.store.accept,ASSISTANT
"the total for 2 medium pizzas, 1 combination and 1 with pepperoni, black olives, italian sausage, and green peppers, both pizzas with thick crust comes out to $29.99.",pepperoni,pizza_ordering.type.topping.accept,ASSISTANT
Okay. Your order is placed & will be ready for you to pickup in about 25 minutes. You should be getting a text with the order confirmation along with your receipt shortly. Anything else?,Your order is placed,pizza_ordering.pizza_order.accept,ASSISTANT
"let me repeat your order: 3 small thick crust pizzas. on the first: veggie lovers with extra cheese. the second: canadian bacon, pepperoni and sausage. on the third, pepperoni, onions, olives, bell peppers and extra cheese. is this correct?",thick crust,pizza_ordering.type.crust.accept,ASSISTANT
"Okay. Regular with no flavors. Sauce wise, do you just want classic marinara?",no flavors,pizza_ordering.preference.accept,ASSISTANT
"Well, I need four medium pizzas. I want two of them to be sausage with onions and peppers on it. And I want the other two to be veggie. And if possible, I want all of them with extra cheese.",veggie,pizza_ordering.type.topping.accept,USER
your total is $48.99 with the gluten free crust.,gluten free crust,pizza_ordering.type.crust.accept,ASSISTANT
"the order for 2 large bbq chicken, both with gluten free crust is $35.39.",gluten free crust,pizza_ordering.type.crust.accept,ASSISTANT
"Not to be nitpicky, but Mod calls it ""gluten friendly"".",gluten friendly,pizza_ordering.type.crust.accept,ASSISTANT
"ok, to confirm, you'd like 2 medium pizzas both with thick crust and with jalapeno, chicken and tomato.",medium,pizza_ordering.size.pizza.accept,ASSISTANT
"You said you want to order 2 small thick crust pizza, 1 supreme with Anchovies and extra sauce, 1 triple Pepperoni with extra cheese.",extra cheese,pizza_ordering.preference.accept,ASSISTANT
"Ok. So to confirm, that's two large pizzas. One with pepperoni, and one half mushroom, half pineapple. And an order of cheesy bread.",half mushroom,pizza_ordering.type.topping.accept,ASSISTANT
